soc,name,group,employment,projected,growth,change,exits,transfers,annualChange,openings,education,wage,onet,geography,employment_base_year,projection_year,wage_year,retrieved,source_url
25-3099,"Teachers and Instructors, All Other",Education,2045.0,2115.0,3.42,70.0,122.0,122.0,7.0,251.0,Bachelor's degree,89220.0,,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
25-4011,Archivists,Education,346.0,364.0,5.2,18.0,20.0,20.0,2.0,42.0,Master's degree,81700.0,25-4011.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
25-4012,Curators,Education,504.0,542.0,7.54,38.0,29.0,29.0,4.0,62.0,Master's degree,81450.0,25-4012.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
25-4013,Museum Technicians and Conservators,Education,322.0,345.0,7.14,23.0,18.0,18.0,2.0,38.0,Bachelor's degree,61720.0,25-4013.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
25-4022,Librarians and Media Collections Specialists,Education,5125.0,5316.0,3.73,191.0,276.0,206.0,19.0,501.0,Master's degree,80220.0,25-4022.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
25-4031,Library Technicians,Education,1909.0,1791.0,-6.18,-118.0,172.0,157.0,-12.0,317.0,Postsecondary non-degree award,53100.0,25-4031.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
25-9031,Instructional Coordinators,Education,5664.0,5912.0,4.38,248.0,284.0,249.0,25.0,558.0,Master's degree,92600.0,25-9031.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
25-9044,"Teaching Assistants, Postsecondary",Education,3291.0,3518.0,6.9,227.0,196.0,220.0,23.0,439.0,Bachelor's degree,54020.0,25-9044.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
25-9045,"Teaching Assistants, Except Postsecondary",Education,36686.0,37035.0,0.95,349.0,2122.0,2380.0,35.0,4537.0,"Some college, no degree",42970.0,,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
27-1011,Art Directors,Arts & media,4680.0,4739.0,1.26,59.0,194.0,206.0,6.0,406.0,Bachelor's degree,147040.0,27-1011.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
27-1014,Special Effects Artists and Animators,Arts & media,694.0,650.0,-6.34,-44.0,28.0,29.0,-4.0,53.0,Bachelor's degree,84280.0,27-1014.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
27-1021,Commercial and Industrial Designers,Arts & media,1019.0,1043.0,2.36,24.0,31.0,48.0,2.0,81.0,Bachelor's degree,106940.0,27-1021.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
