soc,name,group,employment,projected,growth,change,exits,transfers,annualChange,openings,education,wage,onet,geography,employment_base_year,projection_year,wage_year,retrieved,source_url
11-1021,General and Operations Managers,Management,106314.0,110314.0,3.76,4000.0,2508.0,5836.0,400.0,8744.0,Bachelor's degree,155020.0,11-1021.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-2011,Advertising and Promotions Managers,Management,483.0,456.0,-5.59,-27.0,11.0,26.0,-3.0,34.0,Bachelor's degree,165890.0,11-2011.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-2021,Marketing Managers,Management,13876.0,14246.0,2.67,370.0,295.0,764.0,37.0,1096.0,Bachelor's degree,213230.0,11-2021.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-2022,Sales Managers,Management,14083.0,14407.0,2.3,324.0,324.0,712.0,32.0,1068.0,Bachelor's degree,201180.0,11-2022.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-2032,Public Relations Managers,Management,2555.0,2636.0,3.17,81.0,60.0,129.0,8.0,197.0,Bachelor's degree,181950.0,11-2032.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-2033,Fundraising Managers,Management,2020.0,2141.0,5.99,121.0,48.0,103.0,12.0,163.0,Bachelor's degree,165860.0,11-2033.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-3012,Administrative Services Managers,Management,9420.0,9777.0,3.79,357.0,308.0,451.0,36.0,795.0,Bachelor's degree,128110.0,11-3012.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-3013,Facilities Managers,Management,5808.0,6053.0,4.22,245.0,222.0,262.0,24.0,508.0,Bachelor's degree,131200.0,11-3013.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-3021,Computer and Information Systems Managers,Management,25672.0,28089.0,9.41,2417.0,489.0,1211.0,242.0,1942.0,Bachelor's degree,218740.0,11-3021.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-3031,Financial Managers,Management,28223.0,31441.0,11.4,3218.0,747.0,1226.0,322.0,2295.0,Bachelor's degree,218230.0,11-3031.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-3051,Industrial Production Managers,Management,5005.0,5119.0,2.28,114.0,121.0,224.0,11.0,356.0,Bachelor's degree,162230.0,11-3051.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-3061,Purchasing Managers,Management,2353.0,2423.0,2.97,70.0,64.0,109.0,7.0,180.0,Bachelor's degree,179070.0,11-3061.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-3071,"Transportation, Storage, and Distribution Managers",Management,4303.0,4730.0,9.92,427.0,114.0,234.0,43.0,391.0,High school diploma or equivalent,139330.0,11-3071.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-3111,Compensation and Benefits Managers,Management,675.0,664.0,-1.63,-11.0,19.0,27.0,-1.0,45.0,Bachelor's degree,196100.0,11-3111.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-3121,Human Resources Managers,Management,6689.0,6896.0,3.09,207.0,169.0,331.0,21.0,521.0,Bachelor's degree,195110.0,11-3121.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-3131,Training and Development Managers,Management,1170.0,1209.0,3.33,39.0,29.0,60.0,4.0,93.0,Bachelor's degree,,11-3131.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",Management,6943.0,7562.0,8.92,619.0,515.0,241.0,62.0,818.0,High school diploma or equivalent,,11-9013.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-9021,Construction Managers,Management,13732.0,15231.0,10.92,1499.0,356.0,704.0,150.0,1210.0,Bachelor's degree,155900.0,11-9021.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-9031,"Education and Childcare Administrators, Preschool and Daycar",Management,2276.0,2097.0,-7.86,-179.0,53.0,88.0,-18.0,123.0,Bachelor's degree,72890.0,11-9031.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-9032,"Education Administrators, Kindergarten through Secondary",Management,10178.0,10392.0,2.1,214.0,249.0,415.0,21.0,685.0,Master's degree,126350.0,11-9032.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-9033,"Education Administrators, Postsecondary",Management,9385.0,9899.0,5.48,514.0,233.0,389.0,51.0,673.0,Master's degree,144110.0,11-9033.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-9039,"Education Administrators, All Other",Management,1043.0,1112.0,6.62,69.0,26.0,44.0,7.0,77.0,Bachelor's degree,106670.0,,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-9041,Architectural and Engineering Managers,Management,8082.0,8088.0,0.07,6.0,176.0,336.0,1.0,513.0,Bachelor's degree,203040.0,11-9041.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-9051,Food Service Managers,Management,5628.0,5959.0,5.88,331.0,202.0,430.0,33.0,665.0,High school diploma or equivalent,91810.0,11-9051.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-9072,"Entertainment And Recreation Managers, Except Gambling",Management,667.0,735.0,10.19,68.0,31.0,50.0,7.0,88.0,Bachelor's degree,94620.0,11-9072.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-9081,Lodging Managers,Management,627.0,655.0,4.47,28.0,25.0,39.0,3.0,67.0,High school diploma or equivalent,107720.0,11-9081.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-9111,Medical and Health Services Managers,Management,20321.0,24465.0,20.39,4144.0,586.0,971.0,414.0,1971.0,Bachelor's degree,161150.0,11-9111.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-9121,Natural Sciences Managers,Management,8740.0,8705.0,-0.4,-35.0,191.0,472.0,-4.0,659.0,Bachelor's degree,257010.0,11-9121.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-9131,Postmasters and Mail Superintendents,Management,504.0,500.0,-0.79,-4.0,15.0,22.0,0.0,37.0,High school diploma or equivalent,99250.0,11-9131.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-9141,"Property, Real Estate, and Community Association Managers",Management,8844.0,9126.0,3.19,282.0,383.0,323.0,28.0,734.0,High school diploma or equivalent,112940.0,11-9141.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-9151,Social and Community Service Managers,Management,8732.0,9270.0,6.16,538.0,274.0,406.0,54.0,734.0,Bachelor's degree,90020.0,11-9151.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-9161,Emergency Management Directors,Management,184.0,190.0,3.26,6.0,5.0,9.0,1.0,15.0,Bachelor's degree,131520.0,11-9161.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-9171,Funeral Home Managers,Management,575.0,588.0,2.26,13.0,17.0,26.0,1.0,44.0,Associate's degree,105140.0,11-9171.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-9179,"Personal Service Managers, All Other",Management,273.0,287.0,5.13,14.0,8.0,12.0,1.0,21.0,High school diploma or equivalent,,,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
11-9199,"Managers, All Other",Management,20436.0,21166.0,3.57,730.0,604.0,932.0,73.0,1609.0,Bachelor's degree,198080.0,,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
13-1020,Buyers and Purchasing Agents,Business & finance,13424.0,14227.0,5.98,803.0,545.0,722.0,80.0,1347.0,Bachelor's degree,94180.0,,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
13-1031,"Claims Adjusters, Examiners, and Investigators",Business & finance,4325.0,3905.0,-9.71,-420.0,104.0,167.0,-42.0,229.0,High school diploma or equivalent,88750.0,13-1031.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
13-1032,"Insurance Appraisers, Auto Damage",Business & finance,348.0,305.0,-12.36,-43.0,8.0,13.0,-4.0,17.0,Postsecondary non-degree award,83360.0,13-1032.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
13-1041,Compliance Officers,Business & finance,11335.0,11676.0,3.01,341.0,383.0,487.0,34.0,904.0,Bachelor's degree,108310.0,13-1041.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
13-1051,Cost Estimators,Business & finance,5250.0,5101.0,-2.84,-149.0,147.0,279.0,-15.0,411.0,Bachelor's degree,104770.0,13-1051.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
13-1071,Human Resources Specialists,Business & finance,25246.0,26613.0,5.41,1367.0,737.0,1285.0,137.0,2159.0,Bachelor's degree,95400.0,13-1071.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
13-1075,Labor Relations Specialists,Business & finance,1718.0,1763.0,2.62,45.0,50.0,86.0,4.0,140.0,Bachelor's degree,111180.0,13-1075.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
13-1081,Logisticians,Business & finance,5735.0,6688.0,16.62,953.0,158.0,376.0,95.0,629.0,Bachelor's degree,106910.0,13-1081.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
13-1082,Project Management Specialists,Business & finance,20070.0,20602.0,2.65,532.0,472.0,896.0,53.0,1421.0,Bachelor's degree,120970.0,13-1082.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
13-1111,Management Analysts,Business & finance,34473.0,35496.0,2.97,1023.0,1212.0,1552.0,102.0,2866.0,Bachelor's degree,147080.0,13-1111.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
13-1121,"Meeting, Convention, and Event Planners",Business & finance,4290.0,4469.0,4.17,179.0,156.0,250.0,18.0,424.0,Bachelor's degree,81710.0,13-1121.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
13-1131,Fundraisers,Business & finance,6004.0,6358.0,5.9,354.0,183.0,252.0,35.0,470.0,Bachelor's degree,84270.0,13-1131.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
13-1141,"Compensation, Benefits, and Job Analysis Specialists",Business & finance,3112.0,3221.0,3.5,109.0,92.0,137.0,11.0,240.0,Bachelor's degree,104470.0,13-1141.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
13-1151,Training and Development Specialists,Business & finance,11999.0,13216.0,10.14,1217.0,378.0,655.0,122.0,1155.0,Bachelor's degree,86070.0,13-1151.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
13-1161,Market Research Analysts and Marketing Specialists,Business & finance,39342.0,40638.0,3.29,1296.0,1126.0,2198.0,130.0,3454.0,Bachelor's degree,108600.0,13-1161.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
13-1199,"Business Operations Specialists, All Other",Business & finance,19481.0,20259.0,3.99,778.0,679.0,1019.0,78.0,1776.0,Bachelor's degree,98240.0,,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
13-2011,Accountants and Auditors,Business & finance,47501.0,48283.0,1.65,782.0,1471.0,1992.0,78.0,3541.0,Bachelor's degree,107170.0,13-2011.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
13-2020,Property Appraisers and Assessors,Business & finance,1386.0,1424.0,2.74,38.0,63.0,44.0,4.0,111.0,Bachelor's degree,96010.0,,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
13-2031,Budget Analysts,Business & finance,1315.0,1363.0,3.65,48.0,30.0,50.0,5.0,85.0,Bachelor's degree,97340.0,13-2031.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
13-2041,Credit Analysts,Business & finance,1740.0,1583.0,-9.02,-157.0,31.0,70.0,-16.0,85.0,Bachelor's degree,105580.0,13-2041.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
13-2051,Financial and Investment Analysts,Business & finance,18966.0,19360.0,2.08,394.0,399.0,766.0,39.0,1204.0,Bachelor's degree,129680.0,,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
13-2052,Personal Financial Advisors,Business & finance,8883.0,9355.0,5.31,472.0,257.0,302.0,47.0,606.0,Bachelor's degree,172430.0,13-2052.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
13-2053,Insurance Underwriters,Business & finance,3510.0,3179.0,-9.43,-331.0,103.0,125.0,-33.0,195.0,Bachelor's degree,114510.0,13-2053.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
13-2054,Financial Risk Specialists,Business & finance,1550.0,1566.0,1.03,16.0,44.0,66.0,2.0,112.0,Bachelor's degree,131690.0,,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
13-2061,Financial Examiners,Business & finance,1032.0,1154.0,11.82,122.0,36.0,33.0,12.0,81.0,Bachelor's degree,121700.0,13-2061.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
13-2071,Credit Counselors,Business & finance,933.0,961.0,3.0,28.0,25.0,36.0,3.0,64.0,Bachelor's degree,67020.0,13-2071.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
13-2072,Loan Officers,Business & finance,4376.0,4216.0,-3.66,-160.0,115.0,165.0,-16.0,264.0,Bachelor's degree,118390.0,13-2072.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
13-2081,"Tax Examiners and Collectors, and Revenue Agents",Business & finance,947.0,966.0,2.01,19.0,35.0,39.0,2.0,76.0,Bachelor's degree,83490.0,13-2081.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
13-2082,Tax Preparers,Business & finance,2121.0,2060.0,-2.88,-61.0,107.0,118.0,-6.0,219.0,High school diploma or equivalent,58230.0,13-2082.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
13-2099,"Financial Specialists, All Other",Business & finance,2777.0,2834.0,2.05,57.0,80.0,118.0,6.0,204.0,Bachelor's degree,102670.0,,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
15-1211,Computer Systems Analysts,Computer & mathematics,17067.0,17810.0,4.35,743.0,444.0,508.0,74.0,1026.0,Bachelor's degree,128440.0,15-1211.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
15-1212,Information Security Analysts,Computer & mathematics,5789.0,6969.0,20.38,1180.0,114.0,215.0,118.0,447.0,Bachelor's degree,151000.0,15-1212.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
15-1221,Computer and Information Research Scientists,Computer & mathematics,1750.0,2021.0,15.49,271.0,32.0,70.0,27.0,129.0,Master's degree,170470.0,15-1221.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
15-1231,Computer Network Support Specialists,Computer & mathematics,2262.0,2303.0,1.81,41.0,55.0,84.0,4.0,143.0,Associate's degree,94110.0,15-1231.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
15-1232,Computer User Support Specialists,Computer & mathematics,19817.0,18661.0,-5.83,-1156.0,464.0,706.0,-116.0,1054.0,"Some college, no degree",76460.0,15-1232.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
15-1241,Computer Network Architects,Computer & mathematics,5303.0,5696.0,7.41,393.0,93.0,169.0,39.0,301.0,Bachelor's degree,151770.0,15-1241.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
15-1242,Database Administrators,Computer & mathematics,1947.0,1875.0,-3.7,-72.0,40.0,54.0,-7.0,87.0,Bachelor's degree,126790.0,15-1242.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
15-1243,Database Architects,Computer & mathematics,1729.0,1778.0,2.83,49.0,37.0,50.0,5.0,92.0,Bachelor's degree,163290.0,15-1243.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
15-1244,Network and Computer Systems Administrators,Computer & mathematics,7399.0,6938.0,-6.23,-461.0,136.0,211.0,-46.0,301.0,Bachelor's degree,118240.0,15-1244.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
15-1251,Computer Programmers,Computer & mathematics,3455.0,3173.0,-8.16,-282.0,74.0,101.0,-28.0,147.0,Bachelor's degree,127520.0,15-1251.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
15-1252,Software Developers,Computer & mathematics,54679.0,58894.0,7.71,4215.0,955.0,1792.0,422.0,3169.0,Bachelor's degree,161730.0,15-1252.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
15-1253,Software Quality Assurance Analysts and Testers,Computer & mathematics,7609.0,7883.0,3.6,274.0,183.0,257.0,27.0,467.0,Bachelor's degree,117270.0,15-1253.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
15-1254,Web Developers,Computer & mathematics,2137.0,2206.0,3.23,69.0,40.0,76.0,7.0,123.0,Bachelor's degree,108520.0,15-1254.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
15-1255,Web and Digital Interface Designers,Computer & mathematics,2958.0,3023.0,2.2,65.0,72.0,110.0,6.0,188.0,Bachelor's degree,121470.0,15-1255.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
